Date : 2023-06-26 18:03:28
Directory : d:\RECENT\技术\sylar\sylar
Total : 151 files,  40988 codes, 7689 comments, 6485 blanks, all 55162 lines

Languages
+----------+------------+------------+------------+------------+------------+
| language | files      | code       | comment    | blank      | total      |
+----------+------------+------------+------------+------------+------------+
| C++      |        150 |     31,180 |      6,774 |      5,569 |     43,523 |
| C        |          1 |      9,808 |        915 |        916 |     11,639 |
+----------+------------+------------+------------+------------+------------+

Directories
+----------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                     | files      | code       | comment    | blank      | total      |
+----------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                        |        151 |     40,988 |      7,689 |      6,485 |     55,162 |
| . (Files)                                                |         55 |      8,646 |      2,497 |      1,759 |     12,902 |
| db                                                       |          9 |      4,152 |        282 |        684 |      5,118 |
| ds                                                       |         17 |     19,088 |      3,773 |      2,517 |     25,378 |
| email                                                    |          4 |        305 |          0 |         53 |        358 |
| http                                                     |         29 |      2,896 |        878 |        560 |      4,334 |
| http (Files)                                             |         25 |      2,701 |        878 |        532 |      4,111 |
| http\servlets                                            |          4 |        195 |          0 |         28 |        223 |
| ns                                                       |          6 |        897 |         39 |        146 |      1,082 |
| orm                                                      |          9 |      1,526 |          8 |        181 |      1,715 |
| rock                                                     |          6 |        709 |          9 |        123 |        841 |
| streams                                                  |         10 |      1,736 |        168 |        308 |      2,212 |
| util                                                     |          6 |      1,033 |         35 |        154 |      1,222 |
+----------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+----------------------------------------------------------+----------+------------+------------+------------+------------+
| filename                                                 | language | code       | comment    | blank      | total      |
+----------------------------------------------------------+----------+------------+------------+------------+------------+
| d:\RECENT\技术\sylar\sylar\address.cc                      | C++      |        469 |          7 |         83 |        559 |
| d:\RECENT\技术\sylar\sylar\address.h                       | C++      |        117 |        168 |         45 |        330 |
| d:\RECENT\技术\sylar\sylar\application.cc                  | C++      |        301 |         13 |         43 |        357 |
| d:\RECENT\技术\sylar\sylar\application.h                   | C++      |         30 |          1 |         11 |         42 |
| d:\RECENT\技术\sylar\sylar\bytearray.cc                    | C++      |        564 |          0 |         90 |        654 |
| d:\RECENT\技术\sylar\sylar\bytearray.h                     | C++      |         91 |        331 |         65 |        487 |
| d:\RECENT\技术\sylar\sylar\config.cc                       | C++      |         87 |          4 |         16 |        107 |
| d:\RECENT\技术\sylar\sylar\config.h                        | C++      |        348 |        169 |         49 |        566 |
| d:\RECENT\技术\sylar\sylar\daemon.cc                       | C++      |         75 |          2 |          8 |         85 |
| d:\RECENT\技术\sylar\sylar\daemon.h                        | C++      |         20 |         13 |          9 |         42 |
| d:\RECENT\技术\sylar\sylar\db\db.h                         | C++      |         91 |          0 |         17 |        108 |
